ID	Query	LDaQ	RealCost
SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Adobe_Flash> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Adobe_Flash> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Adobe_Flash> } SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER ( lang(?label) = "en" ) } } 	43.0
SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Visualization_API> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Visualization_API> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Visualization_API> } SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER ( lang(?label) = "en" ) } } 	11.0
PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbc: <http://dbpedia.org/resource/Category:> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dbp: <http://dbpedia.org/property/> SELECT ?name ?birthDate ?deathDate WHERE { ?nobel dcterms:subject dbc:Nobel_laureates_in_Physics . ?nobel dbo:nationality ?nationality. ?nobel dbo:birthDate ?birthDate . ?nobel dbo:deathDate ?deathDate . ?nobel dbp:name ?name . FILTER ((?name) = "en") } ORDER BY asc(?birthDate)	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX : <http://dbpedia.org/resource/> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbc: <http://dbpedia.org/resource/Category:> SELECT ?name ?birthDate ?deathDate WHERE { SERVICE SILENT :Category:Nobel_laureates_in_Physics { ?nobel dcterms:subject :Category:Nobel_laureates_in_Physics } SERVICE SILENT ?nobel { ?nobel dbo:nationality ?nationality ; dbo:birthDate ?birthDate ; dbo:deathDate ?deathDate ; dbp:name ?name FILTER ( ?name = "en" ) } } ORDER BY ASC(?birthDate) 	216.0
PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX mo: <http://purl.org/ontology/mo/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX sim: <http://purl.org/ontology/similarity/> PREFIX dbpo: <http://dbpedia.org/ontology/> PREFIX dbpp: <http://dbpedia.org/property/> SELECT DISTINCT ?auri ?aname ?puri ?pname WHERE { <http://dbpedia.org/resource/Socialburn> <http://dbpedia.org/ontology/hometown> ?puri . ?auri <http://dbpedia.org/ontology/hometown> ?puri ; a ?type ; foaf:name ?aname . ?puri rdfs:label ?pname . FILTER (LANG(?pname)="en") FILTER ( REGEX (STR(?type),"music","i") ) FILTER (?puri != <http://dbpedia.org/resource/United_States>) } LIMIT 10	PREFIX dbpp: <http://dbpedia.org/property/> PREFIX mo: <http://purl.org/ontology/mo/> PREFIX dbpo: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX sim: <http://purl.org/ontology/similarity/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?auri ?aname ?puri ?pname WHERE { SERVICE SILENT <http://dbpedia.org/resource/Socialburn> { <http://dbpedia.org/resource/Socialburn> dbpo:hometown ?puri FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) } SERVICE SILENT ?auri { ?auri dbpo:hometown ?puri FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) ?auri rdf:type ?type FILTER regex(str(?type), "music", "i") ?auri foaf:name ?aname } SERVICE SILENT ?puri { ?puri rdfs:label ?pname FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) FILTER ( lang(?pname) = "en" ) } } LIMIT 10 	3.0
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbpprop: <http://dbpedia.org/property/> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dbpprop: <http://dbpedia.org/property/> SELECT DISTINCT ?cantante ?nombre ?lugar WHERE { ?cantante dcterms:subject <http://dbpedia.org/resource/Category:Italian_singers>. ?cantante rdfs:label ?nombre. ?cantante dbpprop:birthPlace ?lugar. }	PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpprop: <http://dbpedia.org/property/> SELECT DISTINCT ?cantante ?nombre ?lugar WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Italian_singers> { ?cantante dcterms:subject <http://dbpedia.org/resource/Category:Italian_singers> } SERVICE SILENT ?cantante { ?cantante rdfs:label ?nombre ; dbpprop:birthPlace ?lugar } } 	12.0
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX : <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> SELECT DISTINCT ?label WHERE { :The_Ventures dbpedia-owl:formerBandMember ?bandMemberObj . ?bandMemberObj rdfs:label ?label . FILTER (LANG(?label) = 'en') } LIMIT 100	PREFIX : <http://dbpedia.org/resource/> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> SELECT DISTINCT ?label WHERE { SERVICE SILENT :The_Ventures { :The_Ventures dbpedia-owl:formerBandMember ?bandMemberObj } SERVICE SILENT ?bandMemberObj { ?bandMemberObj rdfs:label ?label FILTER ( lang(?label) = "en" ) } } LIMIT 100 	8.0
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dc: <http://purl.org/dc/elements/1.1/> SELECT ?cat1 ?cat2 ?cat3 ?cat4 WHERE { <http://dbpedia.org/resource/Karkelo> dcterms:subject ?cat1 . OPTIONAL {?cat1 skos:broader ?cat2 .} OPTIONAL {?cat2 skos:broader ?cat3 .} OPTIONAL {?cat3 skos:broader ?cat4 .} }	PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dc: <http://purl.org/dc/elements/1.1/> SELECT ?cat1 ?cat2 ?cat3 ?cat4 WHERE { SERVICE SILENT <http://dbpedia.org/resource/Karkelo> { <http://dbpedia.org/resource/Karkelo> dcterms:subject ?cat1 } SERVICE SILENT ?cat1 { ?cat1 skos:broader ?cat2 } SERVICE SILENT ?cat2 { ?cat2 skos:broader ?cat3 } SERVICE SILENT ?cat3 { ?cat3 skos:broader ?cat4 } } 	17.0
PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX mo: <http://purl.org/ontology/mo/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX sim: <http://purl.org/ontology/similarity/> PREFIX dbpo: <http://dbpedia.org/ontology/> PREFIX dbpp: <http://dbpedia.org/property/> SELECT DISTINCT ?auri ?aname ?puri ?pname WHERE { <http://dbpedia.org/resource/Oliver_Morgan> <http://dbpedia.org/ontology/hometown> ?puri . ?auri <http://dbpedia.org/ontology/hometown> ?puri ; a ?type ; foaf:name ?aname . ?puri rdfs:label ?pname . FILTER (LANG(?pname)="en") FILTER ( REGEX (STR(?type),"music","i") ) FILTER (?puri != <http://dbpedia.org/resource/United_States>) } LIMIT 10	PREFIX dbpp: <http://dbpedia.org/property/> PREFIX mo: <http://purl.org/ontology/mo/> PREFIX dbpo: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX sim: <http://purl.org/ontology/similarity/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?auri ?aname ?puri ?pname WHERE { SERVICE SILENT <http://dbpedia.org/resource/Oliver_Morgan> { <http://dbpedia.org/resource/Oliver_Morgan> dbpo:hometown ?puri FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) } SERVICE SILENT ?auri { ?auri dbpo:hometown ?puri FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) ?auri rdf:type ?type FILTER regex(str(?type), "music", "i") ?auri foaf:name ?aname } SERVICE SILENT ?puri { ?puri rdfs:label ?pname FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) FILTER ( lang(?pname) = "en" ) } } LIMIT 10 	2.0
SELECT ?cityEA ?name WHERE { {<http://dbpedia.org/resource/Goirle> <http://dbpedia.org/property/east> ?cityEA . ?cityEA <http://xmlns.com/foaf/0.1/name> ?name } }	SELECT ?cityEA ?name WHERE { SERVICE SILENT <http://dbpedia.org/resource/Goirle> { <http://dbpedia.org/resource/Goirle> <http://dbpedia.org/property/east> ?cityEA } SERVICE SILENT ?cityEA { ?cityEA <http://xmlns.com/foaf/0.1/name> ?name } } 	2.0
PREFIX dbpprop: <http://dbpedia.org/property/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbres: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbpprop: <http://dbpedia.org/property/> SELECT ?ingredient_names WHERE { dbres:Matbucha dbo:ingredient ?ingredients . ?ingredients dbpprop:name ?ingredient_names }	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbpprop: <http://dbpedia.org/property/> PREFIX dbres: <http://dbpedia.org/resource/> SELECT ?ingredient_names WHERE { SERVICE SILENT dbres:Matbucha { dbres:Matbucha dbo:ingredient ?ingredients } SERVICE SILENT ?ingredients { ?ingredients dbpprop:name ?ingredient_names } } 	1.0
SELECT ?subject ?relation ?relationLabel ?object ?objectLabel WHERE { <http://dbpedia.org/resource/Nicole_Kidman> ?relation ?object.?relation <http://www.w3.org/2000/01/rdf-schema#label> ?relationLabel . ?object <http://www.w3.org/2000/01/rdf-schema#label> ?objectLabel . FILTER (langMatches(lang(?relationLabel), 'EN')) . FILTER (langMatches(lang(?objectLabel), 'EN')) . }	SELECT ?subject ?relation ?relationLabel ?object ?objectLabel WHERE { SERVICE SILENT <http://dbpedia.org/resource/Nicole_Kidman> { <http://dbpedia.org/resource/Nicole_Kidman> ?relation ?object } SERVICE SILENT ?relation { ?relation <http://www.w3.org/2000/01/rdf-schema#label> ?relationLabel FILTER langMatches(lang(?relationLabel), "EN") } SERVICE SILENT ?object { ?object <http://www.w3.org/2000/01/rdf-schema#label> ?objectLabel FILTER langMatches(lang(?objectLabel), "EN") } } 	104.0
SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Programming_tool> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Programming_tool> { ?concept <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Programming_tool> } SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER ( lang(?label) = "en" ) } } 	17.0
SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Video_game_engines> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Video_game_engines> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Video_game_engines> } SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER ( lang(?label) = "en" ) } } 	144.0
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> SELECT DISTINCT * WHERE { <http://dbpedia.org/resource/Carleen_Anderson> wo:genre ?genre . ?genre rdfs:label ?genreName . ?genre wo:abstract ?genreAbstract . FILTER langMatches( lang(?genreName), "EN" ) FILTER langMatches( lang(?genreAbstract), "EN" ) }	PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT * WHERE { SERVICE SILENT wiki:Carleen_Anderson { wiki:Carleen_Anderson wo:genre ?genre } SERVICE SILENT ?genre { ?genre rdfs:label ?genreName FILTER langMatches(lang(?genreName), "EN") ?genre wo:abstract ?genreAbstract FILTER langMatches(lang(?genreAbstract), "EN") } } 	1.0
SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Free_font_editors> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Free_font_editors> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Free_font_editors> } SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER ( lang(?label) = "en" ) } } 	2.0
